Entry	Entry name	Status	Protein names	Gene names	Organism	Length
Q80XL1	CBLC_MOUSE	reviewed	E3 ubiquitin-protein ligase CBL-C (EC 2.3.2.27) (RING-type E3 ubiquitin transferase CBL-C) (SH3-binding protein CBL-3) (SH3-binding protein CBL-C) (Signal transduction protein CBL-C)	Cblc Cbl3	Mus musculus (Mouse)	496
Q9JIG7	CCD22_MOUSE	reviewed	Coiled-coil domain-containing protein 22	Ccdc22 DXImx40e	Mus musculus (Mouse)	627
Q3TTA7	CBLB_MOUSE	reviewed	E3 ubiquitin-protein ligase CBL-B (EC 2.3.2.27) (Casitas B-lineage lymphoma proto-oncogene b) (RING-type E3 ubiquitin transferase CBL-B) (SH3-binding protein CBL-B) (Signal transduction protein CBL-B)	Cblb	Mus musculus (Mouse)	982
O55187	CBX4_MOUSE	reviewed	E3 SUMO-protein ligase CBX4 (EC 2.3.2.-) (Chromobox protein homolog 4) (E3 SUMO-protein transferase CBX4) (Polycomb 2 homolog) (Pc2) (mPc2)	Cbx4 Pc2	Mus musculus (Mouse)	551
Q8R349	CDC16_MOUSE	reviewed	Cell division cycle protein 16 homolog (Anaphase-promoting complex subunit 6) (APC6) (Cyclosome subunit 6)	Cdc16 Anapc6	Mus musculus (Mouse)	620
Q8BGZ4	CDC23_MOUSE	reviewed	Cell division cycle protein 23 homolog (Anaphase-promoting complex subunit 8) (APC8) (Cyclosome subunit 8)	Cdc23 Anapc8	Mus musculus (Mouse)	597
Q91VT1	NSE2_MOUSE	reviewed	E3 SUMO-protein ligase NSE2 (EC 2.3.2.-) (E3 SUMO-protein transferase NSE2) (MMS21 homolog) (Non-structural maintenance of chromosomes element 2 homolog) (Non-SMC element 2 homolog)	Nsmce2 Mms21	Mus musculus (Mouse)	247
Q9CQX0	OTUB2_MOUSE	reviewed	Ubiquitin thioesterase OTUB2 (EC 3.4.19.12) (Deubiquitinating enzyme OTUB2) (OTU domain-containing ubiquitin aldehyde-binding protein 2) (Otubain-2) (Ubiquitin-specific-processing protease OTUB2)	Otub2	Mus musculus (Mouse)	234
Q8C669	PELI1_MOUSE	reviewed	E3 ubiquitin-protein ligase pellino homolog 1 (Pellino-1) (EC 2.3.2.27) (RING-type E3 ubiquitin transferase pellino homolog 1)	Peli1	Mus musculus (Mouse)	418
Q8BXR6	PELI3_MOUSE	reviewed	E3 ubiquitin-protein ligase pellino homolog 3 (Pellino-3) (EC 2.3.2.27) (RING-type E3 ubiquitin transferase pellino homolog 3)	Peli3	Mus musculus (Mouse)	445
B1AZ99	OTUD3_MOUSE	reviewed	OTU domain-containing protein 3 (EC 3.4.19.12)	Otud3	Mus musculus (Mouse)	396
Q3U2S4	OTUD5_MOUSE	reviewed	OTU domain-containing protein 5 (EC 3.4.19.12) (Deubiquitinating enzyme A) (DUBA)	Otud5 DXImx46e Sfc7	Mus musculus (Mouse)	566
Q3UCV8	OTUL_MOUSE	reviewed	Ubiquitin thioesterase otulin (EC 3.4.19.12) (Deubiquitinating enzyme otulin) (OTU domain-containing deubiquitinase with linear linkage specificity) (Ubiquitin thioesterase Gumby)	Otulin Fam105b Gum	Mus musculus (Mouse)	352
O55176	PJA1_MOUSE	reviewed	E3 ubiquitin-protein ligase Praja-1 (Praja1) (EC 2.3.2.27) (RING-type E3 ubiquitin transferase Praja-1)	Pja1	Mus musculus (Mouse)	578
Q9D7R2	PMEPA_MOUSE	reviewed	Protein TMEPAI (NEDD4 WW domain-binding protein 4) (Prostate transmembrane protein androgen induced 1) (Transmembrane prostate androgen-induced protein)	Pmepa1 N4wbp4 Tmepai	Mus musculus (Mouse)	260
Q80U04	PJA2_MOUSE	reviewed	E3 ubiquitin-protein ligase Praja-2 (Praja2) (EC 2.3.2.27) (RING finger protein 131) (RING-type E3 ubiquitin transferase Praja-2)	Pja2 Kiaa0438 Rnf131	Mus musculus (Mouse)	707
Q9ERU9	RBP2_MOUSE	reviewed	E3 SUMO-protein ligase RanBP2 (EC 2.3.2.-) (Ran-binding protein 2) (RanBP2)	Ranbp2	Mus musculus (Mouse)	3053
P62878	RBX1_MOUSE	reviewed	E3 ubiquitin-protein ligase RBX1 (EC 2.3.2.27) (EC 2.3.2.32) (E3 ubiquitin-protein transferase RBX1) (RING finger protein 75) (RING-box protein 1) (Rbx1) [Cleaved into: E3 ubiquitin-protein ligase RBX1, N-terminally processed]	Rbx1	Mus musculus (Mouse)	108
Q9WTZ1	RBX2_MOUSE	reviewed	RING-box protein 2 (Rbx2) (RING finger protein 7) (Sensitive to apoptosis gene protein)	Rnf7 Rbx2 Sag	Mus musculus (Mouse)	113
Q8VHQ4	RB40C_MOUSE	reviewed	Ras-related protein Rab-40C (SOCS box-containing protein RAR3)	Rab40c	Mus musculus (Mouse)	281
P54728	RD23B_MOUSE	reviewed	UV excision repair protein RAD23 homolog B (HR23B) (mHR23B) (XP-C repair-complementing complex 58 kDa protein) (p58)	Rad23b Mhr23b	Mus musculus (Mouse)	416
Q925F3	R144A_MOUSE	reviewed	E3 ubiquitin-protein ligase RNF144A (EC 2.3.2.31) (RING finger protein 144A) (UbcM4-interacting protein 4) (Ubiquitin-conjugating enzyme 7-interacting protein 4)	Rnf144a Kiaa0161 Rnf144 Ubce7ip4 Uip4	Mus musculus (Mouse)	292
Q9JM13	RABX5_MOUSE	reviewed	Rab5 GDP/GTP exchange factor (Rabex-5)	Rabgef1 Rabex5	Mus musculus (Mouse)	491
Q8BKD6	R144B_MOUSE	reviewed	E3 ubiquitin-protein ligase RNF144B (EC 2.3.2.31) (IBR domain-containing protein 2) (RING finger protein 144B)	Rnf144b Ibrdc2	Mus musculus (Mouse)	301
Q69ZS0	PZRN3_MOUSE	reviewed	E3 ubiquitin-protein ligase PDZRN3 (EC 2.3.2.27) (PDZ domain-containing RING finger protein 3) (RING-type E3 ubiquitin transferase PDZRN3) (Semaphorin cytoplasmic domain-associated protein 3) (Protein SEMACAP3)	Pdzrn3 Kiaa1095 Semcap3	Mus musculus (Mouse)	1063
Q8VHP8	RB40B_MOUSE	reviewed	Ras-related protein Rab-40B (SOCS box-containing protein RAR)	Rab40b	Mus musculus (Mouse)	278
Q9CQJ4	RING2_MOUSE	reviewed	E3 ubiquitin-protein ligase RING2 (EC 2.3.2.27) (RING finger protein 1B) (RING1b) (RING finger protein 2) (RING-type E3 ubiquitin transferase RING2)	Rnf2 DinG Ring1b	Mus musculus (Mouse)	336
Q8CIK8	RFWD3_MOUSE	reviewed	E3 ubiquitin-protein ligase RFWD3 (EC 2.3.2.27) (RING finger and WD repeat domain-containing protein 3) (RING finger protein 201)	Rfwd3 Rnf201	Mus musculus (Mouse)	774
Q6ZQM0	RFFL_MOUSE	reviewed	E3 ubiquitin-protein ligase rififylin (EC 2.3.2.27) (RING finger and FYVE-like domain-containing protein 1) (Fring) (RING-type E3 ubiquitin transferase rififylin)	Rffl	Mus musculus (Mouse)	377
Q9QXK2	RAD18_MOUSE	reviewed	E3 ubiquitin-protein ligase RAD18 (EC 2.3.2.27) (Postreplication repair protein RAD18) (mRAD18Sc) (RING-type E3 ubiquitin transferase RAD18)	Rad18 Rad18sc	Mus musculus (Mouse)	509
P15919	RAG1_MOUSE	reviewed	V(D)J recombination-activating protein 1 (RAG-1) [Includes: Endonuclease RAG1 (EC 3.1.-.-); E3 ubiquitin-protein ligase RAG1 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase RAG1)]	Rag1	Mus musculus (Mouse)	1040
P97868	RBBP6_MOUSE	reviewed	E3 ubiquitin-protein ligase RBBP6 (EC 2.3.2.27) (Proliferation potential-related protein) (Protein P2P-R) (RING-type E3 ubiquitin transferase RBBP6) (Retinoblastoma-binding protein 6) (p53-associated cellular protein of testis)	Rbbp6 P2pr Pact	Mus musculus (Mouse)	1790
P0C090	RC3H2_MOUSE	reviewed	Roquin-2 (EC 2.3.2.27) (Membrane-associated nucleic acid-binding protein) (RING finger and CCCH-type zinc finger domain-containing protein 2) (RING-type E3 ubiquitin transferase Roquin-2)	Rc3h2 Mnab	Mus musculus (Mouse)	1187
Q8BST6	PELI2_MOUSE	reviewed	E3 ubiquitin-protein ligase pellino homolog 2 (Pellino-2) (EC 2.3.2.27) (RING-type E3 ubiquitin transferase pellino homolog 2)	Peli2	Mus musculus (Mouse)	419
Q6IE21	OTU6A_MOUSE	reviewed	OTU domain-containing protein 6A (EC 3.4.19.12) (Hin-6 protease)	Otud6a Hin6	Mus musculus (Mouse)	290
Q9CUB6	OTUD1_MOUSE	reviewed	OTU domain-containing protein 1 (EC 3.4.19.12)	Otud1	Mus musculus (Mouse)	454
Q8C5D8	PIAS2_MOUSE	reviewed	E3 SUMO-protein ligase PIAS2 (EC 2.3.2.27) (Androgen receptor-interacting protein 3) (ARIP3) (DAB2-interacting protein) (DIP) (Msx-interacting zinc finger protein) (Protein inhibitor of activated STAT x) (Protein inhibitor of activated STAT2) (RING-type E3 ubiquitin transferase PIAS2)	Pias2 Miz1 Piasx	Mus musculus (Mouse)	621
Q9JM05	PIAS4_MOUSE	reviewed	E3 SUMO-protein ligase PIAS4 (EC 2.3.2.27) (PIASy) (Protein inhibitor of activated STAT protein 4) (Protein inhibitor of activated STAT protein gamma) (PIAS-gamma) (RING-type E3 ubiquitin transferase PIAS4)	Pias4 Piasg	Mus musculus (Mouse)	507
O88907	PIAS1_MOUSE	reviewed	E3 SUMO-protein ligase PIAS1 (EC 2.3.2.27) (DEAD/H box-binding protein 1) (Protein inhibitor of activated STAT protein 1) (RING-type E3 ubiquitin transferase PIAS1)	Pias1 Ddxbp1	Mus musculus (Mouse)	651
O54714	PIAS3_MOUSE	reviewed	E3 SUMO-protein ligase PIAS3 (EC 2.3.2.-) (E3 SUMO-protein transferase PIAS3) (Protein inhibitor of activated STAT protein 3)	Pias3	Mus musculus (Mouse)	628
Q8BSN5	PHF23_MOUSE	reviewed	PHD finger protein 23 (PDH-containing protein JUNE-1)	Phf23	Mus musculus (Mouse)	401
Q8CJC5	NEUL3_MOUSE	reviewed	E3 ubiquitin-protein ligase NEURL3 (EC 2.3.2.27) (Lung-inducible neuralized-related C3CH4 RING domain protein) (Neuralized-like protein 3) (RING-type E3 ubiquitin transferase NEURL3)	Neurl3 Lincr	Mus musculus (Mouse)	254
Q923S6	NEUL1_MOUSE	reviewed	E3 ubiquitin-protein ligase NEURL1 (EC 2.3.2.27) (Neuralized-like protein 1A) (m-neu1) (m-neuralized 1) (Neuralized1) (RING-type E3 ubiquitin transferase NEURL1)	Neurl1 Neurl Neurl1a	Mus musculus (Mouse)	574
Q69Z66	MYSM1_MOUSE	reviewed	Histone H2A deubiquitinase MYSM1 (2A-DUB) (EC 3.4.19.-) (Myb-like, SWIRM and MPN domain-containing protein 1)	Mysm1 Kiaa1915	Mus musculus (Mouse)	819
Q8CFI0	NED4L_MOUSE	reviewed	E3 ubiquitin-protein ligase NEDD4-like (EC 2.3.2.26) (HECT-type E3 ubiquitin transferase NED4L) (NEDD4.2) (Nedd4-2)	Nedd4l Kiaa0439 Nedd4b	Mus musculus (Mouse)	1004
Q5NCX5	NEUL4_MOUSE	reviewed	Neuralized-like protein 4	Neurl4 Kiaa1787	Mus musculus (Mouse)	1563
Q0MW30	NEU1B_MOUSE	reviewed	E3 ubiquitin-protein ligase NEURL1B (EC 2.3.2.27) (Neuralized-2) (NEUR2) (Neuralized-like protein 1B) (Neuralized-like protein 2) (Neuralized-like protein 3) (RING-type E3 ubiquitin transferase NEURL1B)	Neurl1b Neurl2 Neurl3	Mus musculus (Mouse)	546
Q80YV2	NIPA_MOUSE	reviewed	Nuclear-interacting partner of ALK (Nuclear-interacting partner of anaplastic lymphoma kinase) (mNIPA) (Zinc finger C3HC-type protein 1)	Zc3hc1 Nipa	Mus musculus (Mouse)	501
Q8BR37	NHLC1_MOUSE	reviewed	E3 ubiquitin-protein ligase NHLRC1 (EC 2.3.2.27) (Malin) (NHL repeat-containing protein 1) (RING-type E3 ubiquitin transferase NHLRC1)	Nhlrc1 Epm2b	Mus musculus (Mouse)	401
Q8BJS8	MTBP_MOUSE	reviewed	Mdm2-binding protein (mMTBP)	Mtbp	Mus musculus (Mouse)	894
Q9D720	NSE1_MOUSE	reviewed	Non-structural maintenance of chromosomes element 1 homolog (Non-SMC element 1 homolog) (EC 2.3.2.27)	Nsmce1	Mus musculus (Mouse)	266
B1AY10	NFX1_MOUSE	reviewed	Transcriptional repressor NF-X1 (m-Nfx.1) (EC 2.3.2.-) (Nuclear transcription factor, X box-binding protein 1)	Nfx1	Mus musculus (Mouse)	1114
Q8K1L5	PP1RB_MOUSE	reviewed	E3 ubiquitin-protein ligase PPP1R11 (EC 2.3.2.27) (Protein phosphatase 1 regulatory subunit 11) (T-complex testis expressed protein 5) (Tctex-5)	Ppp1r11 Tctex5	Mus musculus (Mouse)	131
Q9D787	PPIL2_MOUSE	reviewed	RING-type E3 ubiquitin-protein ligase PPIL2 (EC 2.3.2.27) (CYC4) (Probable inactive peptidyl-prolyl cis-trans isomerase-like 2) (PPIase)	Ppil2	Mus musculus (Mouse)	521
O35593	PSDE_MOUSE	reviewed	26S proteasome non-ATPase regulatory subunit 14 (EC 3.4.19.-) (26S proteasome regulatory subunit RPN11) (MAD1)	Psmd14 Pad1	Mus musculus (Mouse)	310
Q9WVS6	PRKN_MOUSE	reviewed	E3 ubiquitin-protein ligase parkin (EC 2.3.2.31) (Parkin RBR E3 ubiquitin-protein ligase)	Prkn Park2	Mus musculus (Mouse)	464
Q99KP6	PRP19_MOUSE	reviewed	Pre-mRNA-processing factor 19 (EC 2.3.2.27) (Nuclear matrix protein 200) (PRP19/PSO4 homolog) (RING-type E3 ubiquitin transferase PRP19) (Senescence evasion factor)	Prpf19 Prp19 Snev	Mus musculus (Mouse)	504
Q3TCJ1	ABRX2_MOUSE	reviewed	BRISC complex subunit Abraxas 2 (Abraxas brother protein 1) (Protein FAM175B)	Abraxas2 Abro1 Fam175b Kiaa0157	Mus musculus (Mouse)	415
Q9D5L7	SPSB1_MOUSE	reviewed	SPRY domain-containing SOCS box protein 1 (SSB-1)	Spsb1 Ssb1	Mus musculus (Mouse)	273
O88838	SPSB2_MOUSE	reviewed	SPRY domain-containing SOCS box protein 2 (SSB-2) (Gene-rich cluster protein C9)	Spsb2 Grcc9 Ssb2	Mus musculus (Mouse)	264
Q76N33	STALP_MOUSE	reviewed	AMSH-like protease (AMSH-LP) (EC 3.4.19.-) (AMSH family protein) (AMSH-FP) (STAM-binding protein-like 1)	Stambpl1 Amshlp	Mus musculus (Mouse)	436
Q9CQ26	STABP_MOUSE	reviewed	STAM-binding protein (EC 3.4.19.-) (Associated molecule with the SH3 domain of STAM)	Stambp Amsh	Mus musculus (Mouse)	424
P63166	SUMO1_MOUSE	reviewed	Small ubiquitin-related modifier 1 (SUMO-1) (SMT3 homolog 3) (Ubiquitin-homology domain protein PIC1) (Ubiquitin-like protein SMT3C) (Smt3C)	Sumo1 Smt3c Smt3h3 Ubl1	Mus musculus (Mouse)	101
P61957	SUMO2_MOUSE	reviewed	Small ubiquitin-related modifier 2 (SUMO-2) (SMT3 homolog 2) (Ubiquitin-like protein SMT3B) (Smt3B)	Sumo2 Smt3b Smt3h2	Mus musculus (Mouse)	95
Q9CUN6	SMUF1_MOUSE	reviewed	E3 ubiquitin-protein ligase SMURF1 (EC 2.3.2.26) (HECT-type E3 ubiquitin transferase SMURF1) (SMAD ubiquitination regulatory factor 1) (SMAD-specific E3 ubiquitin-protein ligase 1)	Smurf1	Mus musculus (Mouse)	731
Q8R5B6	SPSB4_MOUSE	reviewed	SPRY domain-containing SOCS box protein 4 (SSB-4)	Spsb4 Ssb4	Mus musculus (Mouse)	273
Q8BHJ5	TBL1R_MOUSE	reviewed	F-box-like/WD repeat-containing protein TBL1XR1 (Nuclear receptor corepressor/HDAC3 complex subunit TBLR1) (TBL1-related protein 1) (Transducin beta-like 1X-related protein 1)	Tbl1xr1 Ira1 Tblr1	Mus musculus (Mouse)	514
Q9DBY1	SYVN1_MOUSE	reviewed	E3 ubiquitin-protein ligase synoviolin (EC 2.3.2.27) (RING-type E3 ubiquitin transferase synoviolin) (Synovial apoptosis inhibitor 1)	Syvn1 Hrd1 Kiaa1810	Mus musculus (Mouse)	612
Q14B02	RN133_MOUSE	reviewed	E3 ubiquitin-protein ligase RNF133 (EC 2.3.2.27) (Goliath-related E3 ubiquitin-protein ligase 2) (RING finger protein 133) (RING-type E3 ubiquitin transferase RNF133)	Rnf133 Greul2	Mus musculus (Mouse)	382
Q91YT2	RN185_MOUSE	reviewed	E3 ubiquitin-protein ligase RNF185 (EC 2.3.2.27) (RING finger protein 185) (RING-type E3 ubiquitin transferase RNF185)	Rnf185	Mus musculus (Mouse)	192
Q7TMV1	RN139_MOUSE	reviewed	E3 ubiquitin-protein ligase RNF139 (EC 2.3.2.27) (RING finger protein 139) (RING-type E3 ubiquitin transferase RNF139) (Translocation in renal carcinoma on chromosome 8 protein)	Rnf139	Mus musculus (Mouse)	668
Q91XF4	RN167_MOUSE	reviewed	E3 ubiquitin-protein ligase RNF167 (EC 2.3.2.27) (RING finger protein 167) (RING-type E3 ubiquitin transferase RNF167)	Rnf167	Mus musculus (Mouse)	347
D3YYI7	RN217_MOUSE	reviewed	Probable E3 ubiquitin-protein ligase RNF217 (EC 2.3.2.31) (IBR domain-containing protein 1) (RING finger protein 217)	Rnf217 Ibrdc1	Mus musculus (Mouse)	515
Q6PDX6	RN220_MOUSE	reviewed	E3 ubiquitin-protein ligase Rnf220 (EC 2.3.2.27) (RING finger protein 220) (RING-type E3 ubiquitin transferase Rnf220)	Rnf220	Mus musculus (Mouse)	566
Q3U827	RN180_MOUSE	reviewed	E3 ubiquitin-protein ligase RNF180 (EC 2.3.2.27) (RING finger protein 180) (RING-type E3 ubiquitin transferase RNF180)	Rnf180 Rines	Mus musculus (Mouse)	592
Q8C432	RN182_MOUSE	reviewed	E3 ubiquitin-protein ligase RNF182 (EC 2.3.2.27) (RING finger protein 182) (RING-type E3 ubiquitin transferase RNF182)	Rnf182	Mus musculus (Mouse)	247
Q5XPI3	RN123_MOUSE	reviewed	E3 ubiquitin-protein ligase RNF123 (EC 2.3.2.27) (Kip1 ubiquitination-promoting complex protein 1) (RING finger protein 123) (RING-type E3 ubiquitin transferase RNF123)	Rnf123 Kpc1	Mus musculus (Mouse)	1314
Q9QZS2	RNF4_MOUSE	reviewed	E3 ubiquitin-protein ligase RNF4 (EC 2.3.2.27) (RING finger protein 4) (RING-type E3 ubiquitin transferase RNF4)	Rnf4	Mus musculus (Mouse)	194
Q8BUH7	RNF26_MOUSE	reviewed	E3 ubiquitin-protein ligase RNF26 (EC 2.3.2.27) (RING finger protein 26)	Rnf26	Mus musculus (Mouse)	424
Q8VC56	RNF8_MOUSE	reviewed	E3 ubiquitin-protein ligase RNF8 (EC 2.3.2.27) (ActA-interacting protein 37) (AIP37) (LaXp180) (RING finger protein 8) (RING-type E3 ubiquitin transferase RNF8)	Rnf8	Mus musculus (Mouse)	488
Q8C120	SH3R3_MOUSE	reviewed	E3 ubiquitin-protein ligase SH3RF3 (EC 2.3.2.27) (Plenty of SH3s 2) (SH3 domain-containing RING finger protein 3) (SH3 multiple domains protein 4)	Sh3rf3 Posh2 Sh3md4	Mus musculus (Mouse)	878
Q9Z0Z3	SKP2_MOUSE	reviewed	S-phase kinase-associated protein 2 (Cyclin-A/CDK2-associated protein p45) (F-box protein Skp2) (F-box/WD-40 protein 1) (FWD1)	Skp2	Mus musculus (Mouse)	424
O35717	SOCS2_MOUSE	reviewed	Suppressor of cytokine signaling 2 (SOCS-2) (Cytokine-inducible SH2 protein 2) (CIS-2)	Socs2 Cis2 Cish2	Mus musculus (Mouse)	198
Q9EP97	SENP3_MOUSE	reviewed	Sentrin-specific protease 3 (EC 3.4.22.-) (SUMO-1-specific protease 3) (Sentrin/SUMO-specific protease SENP3) (Smt3-specific isopeptidase 1) (Smt3ip1)	Senp3 Smt3ip Smt3ip1	Mus musculus (Mouse)	568
Q6NXL6	SENP5_MOUSE	reviewed	Sentrin-specific protease 5 (EC 3.4.22.-) (SUMO/Smt3-specific isopeptidase 3) (Smt3ip3) (Sentrin/SUMO-specific protease SENP5)	Senp5 Smt3ip3	Mus musculus (Mouse)	749
Q06985	SIA1B_MOUSE	reviewed	E3 ubiquitin-protein ligase SIAH1B (EC 2.3.2.27) (RING-type E3 ubiquitin transferase SIAH1B) (Seven in absentia homolog 1b) (Siah-1b) (Siah1b)	Siah1b	Mus musculus (Mouse)	282
Q91WA6	SHRPN_MOUSE	reviewed	Sharpin (Shank-associated RH domain-interacting protein) (Shank-interacting protein-like 1) (mSIPL1)	Sharpin Cpdm Sipl1	Mus musculus (Mouse)	380
Q9WTX5	SKP1_MOUSE	reviewed	S-phase kinase-associated protein 1 (Cyclin-A/CDK2-associated protein p19) (S-phase kinase-associated protein 1A) (p19A) (p19skp1)	Skp1 Skp1a	Mus musculus (Mouse)	163
Q9JLY0	SOCS6_MOUSE	reviewed	Suppressor of cytokine signaling 6 (SOCS-6) (Cytokine-inducible SH2 protein 4) (CIS-4) (Suppressor of cytokine signaling 4) (SOCS-4)	Socs6 Cis4 Cish4 Socs4	Mus musculus (Mouse)	533
Q8VHQ2	SOCS7_MOUSE	reviewed	Suppressor of cytokine signaling 7 (SOCS-7)	Socs7 Cish7 Nap4	Mus musculus (Mouse)	579
O35716	SOCS1_MOUSE	reviewed	Suppressor of cytokine signaling 1 (SOCS-1) (JAK-binding protein) (JAB) (STAT-induced STAT inhibitor 1) (SSI-1)	Socs1 Cish1 Ssi1	Mus musculus (Mouse)	212
Q6ZWS8	SPOP_MOUSE	reviewed	Speckle-type POZ protein (HIB homolog 1) (PDX-1 C-terminal-interacting factor 1)	Spop Pcif1	Mus musculus (Mouse)	374
Q7TPQ3	SHPRH_MOUSE	reviewed	E3 ubiquitin-protein ligase SHPRH (EC 2.3.2.27) (EC 3.6.4.-) (RING-type E3 ubiquitin transferase SHPRH) (SNF2, histone-linker, PHD and RING finger domain-containing helicase)	Shprh	Mus musculus (Mouse)	1674
A2A5Z6	SMUF2_MOUSE	reviewed	E3 ubiquitin-protein ligase SMURF2 (EC 2.3.2.26) (HECT-type E3 ubiquitin transferase SMURF2) (SMAD ubiquitination regulatory factor 2) (SMAD-specific E3 ubiquitin-protein ligase 2)	Smurf2	Mus musculus (Mouse)	748
P61092	SIA1A_MOUSE	reviewed	E3 ubiquitin-protein ligase SIAH1A (EC 2.3.2.27) (RING-type E3 ubiquitin transferase SIAH1A) (Seven in absentia homolog 1a) (Siah-1a) (Siah1a) (mSiah-1a)	Siah1a	Mus musculus (Mouse)	282
Q6P7W0	SENP6_MOUSE	reviewed	Sentrin-specific protease 6 (EC 3.4.22.-) (SUMO-1-specific protease 1) (Sentrin/SUMO-specific protease SENP6)	Senp6 Kiaa0797 Susp1	Mus musculus (Mouse)	1132
Q8BUH8	SENP7_MOUSE	reviewed	Sentrin-specific protease 7 (EC 3.4.22.-) (SUMO-1-specific protease 2) (Sentrin/SUMO-specific protease SENP7)	Senp7 Kiaa1707 Susp2	Mus musculus (Mouse)	1037
Q8BZT2	SH3R2_MOUSE	reviewed	E3 ubiquitin-protein ligase SH3RF2 (EC 2.3.2.27) (Protein phosphatase 1 regulatory subunit 39) (RING finger protein 158) (RING-type E3 ubiquitin transferase SH3RF2) (SH3 domain-containing RING finger protein 2)	Sh3rf2 Posh3 Ppp1r39 Rnf158	Mus musculus (Mouse)	735
Q06986	SIAH2_MOUSE	reviewed	E3 ubiquitin-protein ligase SIAH2 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase SIAH2) (Seven in absentia homolog 2) (Siah-2) (mSiah2)	Siah2	Mus musculus (Mouse)	325
O35718	SOCS3_MOUSE	reviewed	Suppressor of cytokine signaling 3 (SOCS-3) (Cytokine-inducible SH2 protein 3) (CIS-3) (Protein EF-10)	Socs3 Cis3 Cish3	Mus musculus (Mouse)	225
Q91ZA6	SOCS4_MOUSE	reviewed	Suppressor of cytokine signaling 4 (SOCS-4) (Suppressor of cytokine signaling 7) (SOCS-7)	Socs4 Socs7	Mus musculus (Mouse)	436
O54928	SOCS5_MOUSE	reviewed	Suppressor of cytokine signaling 5 (SOCS-5) (Cytokine-inducible SH2-containing protein 5)	Socs5 Cish5	Mus musculus (Mouse)	536
Q2M2N2	SPOPL_MOUSE	reviewed	Speckle-type POZ protein-like (HIB homolog 2)	Spopl	Mus musculus (Mouse)	392
Q571F5	SPSB3_MOUSE	reviewed	SPRY domain-containing SOCS box protein 3 (SSB-3)	Spsb3 Kiaa4204 Ssb3 Tce1	Mus musculus (Mouse)	354
Q5NCP0	RNF43_MOUSE	reviewed	E3 ubiquitin-protein ligase RNF43 (EC 2.3.2.27) (RING finger protein 43) (RING-type E3 ubiquitin transferase RNF43)	Rnf43	Mus musculus (Mouse)	784
O35445	RNF5_MOUSE	reviewed	E3 ubiquitin-protein ligase RNF5 (EC 2.3.2.27) (RING finger protein 5) (RING-type E3 ubiquitin transferase RNF5)	Rnf5 Ng2	Mus musculus (Mouse)	180
Q9QZR0	RNF25_MOUSE	reviewed	E3 ubiquitin-protein ligase RNF25 (EC 2.3.2.27) (RING finger protein 25) (RING finger protein AO7) (RING-type E3 ubiquitin transferase RNF25)	Rnf25	Mus musculus (Mouse)	456
