gene	celltype	priority	ensgene
Rpl18	Ribosomal	T	ENSMUSG00000059070
Rpl17	Ribosomal	T	ENSMUSG00000062328
Rps2	Ribosomal	T	ENSMUSG00000044533
Rpl15	Ribosomal	T	ENSMUSG00000012405
Rpl14	Ribosomal	T	ENSMUSG00000025794
Rps3	Ribosomal	T	ENSMUSG00000030744
Rps15a	Ribosomal	T	ENSMUSG00000008683
Rpl13	Ribosomal	T	ENSMUSG00000000740
Rpl11	Ribosomal	T	ENSMUSG00000059291
Rpl12	Ribosomal	T	ENSMUSG00000038900
Rpl13a	Ribosomal	T	ENSMUSG00000074129
Rpl10	Ribosomal	T	ENSMUSG00000008682
Rpl37a	Ribosomal	T	ENSMUSG00000046330
Rpl23a	Ribosomal	T	ENSMUSG00000058546
Fau	Ribosomal	T	ENSMUSG00000038274
Rps10	Ribosomal	T	ENSMUSG00000052146
Rps11	Ribosomal	T	ENSMUSG00000003429
Rps12	Ribosomal	T	ENSMUSG00000061983
Rps13	Ribosomal	T	ENSMUSG00000090862
Rpl7a	Ribosomal	T	ENSMUSG00000062647
Rps18	Ribosomal	T	ENSMUSG00000008668
Rps19	Ribosomal	T	ENSMUSG00000040952
Rpl27a	Ribosomal	T	ENSMUSG00000046364
Rps14	Ribosomal	T	ENSMUSG00000024608
Rps15	Ribosomal	T	ENSMUSG00000063457
Rpl41	Ribosomal	T	ENSMUSG00000093674
Rps16	Ribosomal	T	ENSMUSG00000037563
Rps17	Ribosomal	T	ENSMUSG00000061787
Hsf2	HSF	T	ENSMUSG00000019878
Hsf1	HSF	T	ENSMUSG00000022556
Hsf4	HSF	T	ENSMUSG00000033249
Hsf3	HSF	T	ENSMUSG00000045802
DnaJB6	DNAJ	T	ENSMUSG00000029131
NRF1	NRF	T	ENSMUSG00000058440
NRF2	NRF	T	ENSMUSG00000015839
