Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Class
Q60973	RBBP7_MOUSE	reviewed	Histone-binding protein RBBP7 (Histone acetyltransferase type B subunit 2) (Nucleosome-remodeling factor subunit RBAP46) (Retinoblastoma-binding protein 7) (RBBP-7) (Retinoblastoma-binding protein p46)	Rbbp7 Rbap46	Mus musculus (Mouse)	425	
Q60817	NACA_MOUSE	reviewed	Nascent polypeptide-associated complex subunit alpha (Alpha-NAC) (Alpha-NAC/1.9.2)	Naca	Mus musculus (Mouse)	215	
Q9JHS4	CLPX_MOUSE	reviewed	"ATP-dependent Clp protease ATP-binding subunit clpX-like, mitochondrial"	Clpx	Mus musculus (Mouse)	634	
Q8BK64	AHSA1_MOUSE	reviewed	Activator of 90 kDa heat shock protein ATPase homolog 1 (AHA1)	Ahsa1	Mus musculus (Mouse)	338	Hsp90
Q8N9S3	AHSA2_MOUSE	reviewed	Activator of 90 kDa heat shock protein ATPase homolog 2	Ahsa2	Mus musculus (Mouse)	331	Hsp90
Q61081	CDC37_MOUSE	reviewed	"Hsp90 co-chaperone Cdc37 (Hsp90 chaperone protein kinase-targeting subunit) (p50Cdc37) [Cleaved into: Hsp90 co-chaperone Cdc37, N-terminally processed]"	Cdc37	Mus musculus (Mouse)	379	Hsp90
Q9CZP7	CD37L_MOUSE	reviewed	Hsp90 co-chaperone Cdc37-like 1	Cdc37l1	Mus musculus (Mouse)	335	Hsp90
P07901	HS90A_MOUSE	reviewed	Heat shock protein HSP 90-alpha (Heat shock 86 kDa) (HSP 86) (HSP86) (Tumor-specific transplantation 86 kDa antigen) (TSTA)	Hsp90aa1 Hsp86 Hsp86-1 Hspca	Mus musculus (Mouse)	733	Hsp90
P11499	HS90B_MOUSE	reviewed	Heat shock protein HSP 90-beta (Heat shock 84 kDa) (HSP 84) (HSP84) (Tumor-specific transplantation 84 kDa antigen) (TSTA)	Hsp90ab1 Hsp84 Hsp84-1 Hspcb	Mus musculus (Mouse)	724	Hsp90
P08113	ENPL_MOUSE	reviewed	Endoplasmin (94 kDa glucose-regulated protein) (GRP-94) (Endoplasmic reticulum resident protein 99) (ERp99) (Heat shock protein 90 kDa beta member 1) (Polymorphic tumor rejection antigen 1) (Tumor rejection antigen gp96)	Hsp90b1 Grp94 Tra-1 Tra1	Mus musculus (Mouse)	802	Hsp90
Q60739	BAG1_MOUSE	reviewed	BAG family molecular chaperone regulator 1 (BAG-1) (Bcl-2-associated athanogene 1)	Bag1	Mus musculus (Mouse)	355	Hsp70
Q91YN9	BAG2_MOUSE	reviewed	BAG family molecular chaperone regulator 2 (BAG-2) (Bcl-2-associated athanogene 2)	Bag2	Mus musculus (Mouse)	210	Hsp70
Q9JLV1	BAG3_MOUSE	reviewed	BAG family molecular chaperone regulator 3 (BAG-3) (Bcl-2-associated athanogene 3) (Bcl-2-binding protein Bis)	Bag3 Bis MNCb-2243	Mus musculus (Mouse)	577	Hsp70
Q8CI61	BAG4_MOUSE	reviewed	BAG family molecular chaperone regulator 4 (BAG-4) (Bcl-2-associated athanogene 4) (Silencer of death domains)	Bag4 Sodd	Mus musculus (Mouse)	457	Hsp70
Q8CI32	BAG5_MOUSE	reviewed	BAG family molecular chaperone regulator 5 (BAG-5) (Bcl-2-associated athanogene 5)	Bag5	Mus musculus (Mouse)	447	Hsp70
Q9Z1R2	BAG6_MOUSE	reviewed	Large proline-rich protein BAG6 (BAG family molecular chaperone regulator 6) (BCL2-associated athanogene 6) (BAG-6) (HLA-B-associated transcript 3) (Protein Scythe)	Bag6 Bat3	Mus musculus (Mouse)	1154	Hsp70
Q99M31	HSP7E_MOUSE	reviewed	Heat shock 70 kDa protein 14 (NST-1) (hsr.1)	Hspa14 Hsp70-4	Mus musculus (Mouse)	509	Hsp70
Q61696	HS71A_MOUSE	reviewed	Heat shock 70 kDa protein 1A (Heat shock 70 kDa protein 3) (HSP70.3) (Hsp68)	Hspa1a Hsp70-3 Hsp70A1	Mus musculus (Mouse)	641	Hsp70
P17879	HS71B_MOUSE	reviewed	Heat shock 70 kDa protein 1B (Heat shock 70 kDa protein 1) (HSP70.1)	Hspa1b Hcp70.1 Hsp70-1 Hsp70a1 Hspa1	Mus musculus (Mouse)	642	Hsp70
P17156	HSP72_MOUSE	reviewed	Heat shock-related 70 kDa protein 2 (Heat shock protein 70.2)	Hspa2 Hcp70.2 Hsp70-2	Mus musculus (Mouse)	633	Hsp70
P48722	HS74L_MOUSE	reviewed	Heat shock 70 kDa protein 4L (Heat shock 70-related protein APG-1) (Osmotic stress protein 94)	Hspa4l Apg1 Hsp4l Osp94	Mus musculus (Mouse)	838	Hsp70
P63017	HSP7C_MOUSE	reviewed	Heat shock cognate 71 kDa protein (Heat shock 70 kDa protein 8)	Hspa8 Hsc70 Hsc73	Mus musculus (Mouse)	646	Hsp70
P38647	GRP75_MOUSE	reviewed	"Stress-70 protein, mitochondrial (75 kDa glucose-regulated protein) (GRP-75) (Heat shock 70 kDa protein 9) (Mortalin) (Peptide-binding protein 74) (PBP74) (p66 MOT)"	Hspa9 Grp75 Hsp74 Hspa9a	Mus musculus (Mouse)	679	Hsp70
Q99L47	F10A1_MOUSE	reviewed	Hsc70-interacting protein (Hip) (Protein FAM10A1) (Protein ST13 homolog)	St13 Fam10a1 Hip	Mus musculus (Mouse)	371	Hsp70
Q3UWP8	Q3UWP8_MOUSE	unreviewed	Uncharacterized protein (Fragment)	Calr	Mus musculus (Mouse)	368	
P14211	CALR_MOUSE	reviewed	Calreticulin (CRP55) (Calregulin) (Endoplasmic reticulum resident protein 60) (ERp60) (HACBP)	Calr	Mus musculus (Mouse)	416	
B2MWM9	B2MWM9_MOUSE	unreviewed	Calreticulin (MCG5893)	Calr mCG_5893	Mus musculus (Mouse)	416	
Q9D373	Q9D373_MOUSE	unreviewed	Uncharacterized protein	Calr3	Mus musculus (Mouse)	137	
Q8BL82	Q8BL82_MOUSE	unreviewed	Calreticulin-3	Calr3	Mus musculus (Mouse)	272	
Q9D9Q6	CALR3_MOUSE	reviewed	Calreticulin-3 (Calreticulin-2) (Calsperin)	Calr3 Crt2	Mus musculus (Mouse)	380	
B1Q2L7	B1Q2L7_MOUSE	unreviewed	Calsperin	Calr3 cspn	Mus musculus (Mouse)	380	
Q3TQS0	Q3TQS0_MOUSE	unreviewed	Calreticulin 4	Calr4	Mus musculus (Mouse)	420	
A2A8Z3	A2A8Z3_MOUSE	unreviewed	Calreticulin 4	Calr4	Mus musculus (Mouse)	313	
G5CPP0	G5CPP0_MOUSE	unreviewed	"Calreticulin 4 (MCG2414, isoform CRA_a)"	Calr4 mCG_2414	Mus musculus (Mouse)	439	
Q3TXE5	Q3TXE5_MOUSE	unreviewed	Uncharacterized protein	Canx	Mus musculus (Mouse)	591	
P35564	CALX_MOUSE	reviewed	Calnexin	Canx	Mus musculus (Mouse)	591	
Q5SUC3	Q5SUC3_MOUSE	unreviewed	"Calnexin, isoform CRA_a"	Canx mCG_125213	Mus musculus (Mouse)	591	
P30416	FKBP4_MOUSE	reviewed	"Peptidyl-prolyl cis-trans isomerase FKBP4 (PPIase FKBP4) (EC 5.2.1.8) (52 kDa FK506-binding protein) (52 kDa FKBP) (FKBP-52) (59 kDa immunophilin) (p59) (FK506-binding protein 4) (FKBP-4) (FKBP59) (HSP-binding immunophilin) (HBI) (Immunophilin FKBP52) (Rotamase) [Cleaved into: Peptidyl-prolyl cis-trans isomerase FKBP4, N-terminally processed]"	Fkbp4 Fkpb52	Mus musculus (Mouse)	458	
Q64378	FKBP5_MOUSE	reviewed	Peptidyl-prolyl cis-trans isomerase FKBP5 (PPIase FKBP5) (EC 5.2.1.8) (51 kDa FK506-binding protein) (51 kDa FKBP) (FKBP-51) (FK506-binding protein 5) (FKBP-5) (Rotamase)	Fkbp5 Fkbp51	Mus musculus (Mouse)	456	
Q3UTB8	Q3UTB8_MOUSE	unreviewed	GrpE protein homolog	Grpel1	Mus musculus (Mouse)	217	
Q99LP6	GRPE1_MOUSE	reviewed	"GrpE protein homolog 1, mitochondrial (Mt-GrpE#1)"	Grpel1	Mus musculus (Mouse)	217	
Q3UYQ9	Q3UYQ9_MOUSE	unreviewed	GrpE protein homolog	Grpel2	Mus musculus (Mouse)	224	
Q0VB85	Q0VB85_MOUSE	unreviewed	GrpE protein homolog	Grpel2 mCG_12654	Mus musculus (Mouse)	224	
O88396	GRPE2_MOUSE	reviewed	"GrpE protein homolog 2, mitochondrial (Mt-GrpE#2)"	Grpel2 Mt-grpel2	Mus musculus (Mouse)	224	
P09103	PDIA1_MOUSE	reviewed	Protein disulfide-isomerase (PDI) (EC 5.3.4.1) (Cellular thyroid hormone-binding protein) (Endoplasmic reticulum resident protein 59) (ER protein 59) (ERp59) (Prolyl 4-hydroxylase subunit beta) (p55)	P4hb Pdia1	Mus musculus (Mouse)	509	
D3Z6P0	PDIA2_MOUSE	reviewed	Protein disulfide-isomerase A2 (EC 5.3.4.1) (PDIp)	Pdia2 Pdip	Mus musculus (Mouse)	527	
Q922R8	PDIA6_MOUSE	reviewed	Protein disulfide-isomerase A6 (EC 5.3.4.1) (Thioredoxin domain-containing protein 7)	Pdia6 Txndc7	Mus musculus (Mouse)	440	
Q9CR16	PPID_MOUSE	reviewed	Peptidyl-prolyl cis-trans isomerase D (PPIase D) (EC 5.2.1.8) (40 kDa peptidyl-prolyl cis-trans isomerase) (Cyclophilin-40) (CYP-40) (Rotamase D)	Ppid	Mus musculus (Mouse)	370	
Q9D868	PPIH_MOUSE	reviewed	Peptidyl-prolyl cis-trans isomerase H (PPIase H) (EC 5.2.1.8) (Rotamase H)	Ppih	Mus musculus (Mouse)	188	
Q8VHE0	SEC63_MOUSE	reviewed	Translocation protein SEC63 homolog	Sec63 Sec63l	Mus musculus (Mouse)	760	
P63037	DNJA1_MOUSE	reviewed	DnaJ homolog subfamily A member 1 (DnaJ protein homolog 2) (Heat shock 40 kDa protein 4) (Heat shock protein J2) (HSJ-2)	Dnaja1 Dnaj2 Hsj2 Hspf4	Mus musculus (Mouse)	397	DnaJ
Q9QYJ0	DNJA2_MOUSE	reviewed	DnaJ homolog subfamily A member 2 (mDj3)	Dnaja2	Mus musculus (Mouse)	412	DnaJ
Q99M87	DNJA3_MOUSE	reviewed	"DnaJ homolog subfamily A member 3, mitochondrial (DnaJ protein Tid-1) (mTid-1) (Tumorous imaginal discs protein Tid56 homolog)"	Dnaja3 Tid1	Mus musculus (Mouse)	480	DnaJ
Q9JMC3	DNJA4_MOUSE	reviewed	DnaJ homolog subfamily A member 4 (MmDjA4)	Dnaja4	Mus musculus (Mouse)	397	DnaJ
Q9QYJ3	DNJB1_MOUSE	reviewed	DnaJ homolog subfamily B member 1 (Heat shock 40 kDa protein 1) (HSP40) (Heat shock protein 40)	Dnajb1 Hsp40 Hspf1	Mus musculus (Mouse)	340	DnaJ
Q99KV1	DJB11_MOUSE	reviewed	DnaJ homolog subfamily B member 11 (APOBEC1-binding protein 2) (ABBP-2) (ER-associated DNAJ) (ER-associated Hsp40 co-chaperone) (Endoplasmic reticulum DNA J domain-containing protein 3) (ER-resident protein ERdj3) (ERdj3) (ERj3p)	Dnajb11	Mus musculus (Mouse)	358	DnaJ
Q9QYI4	DJB12_MOUSE	reviewed	DnaJ homolog subfamily B member 12 (mDj10)	Dnajb12	Mus musculus (Mouse)	376	DnaJ
Q80Y75	DJB13_MOUSE	reviewed	DnaJ homolog subfamily B member 13 (Testis and spermatogenesis cell-related protein 6) (Testis spermatocyte apoptosis-related gene 6 protein) (Testis spermatogenesis apoptosis-related gene 3 protein) (Testis spermatogenesis apoptosis-related gene 6 protein)	Dnajb13 Tsarg Tsarg3 Tsarg6	Mus musculus (Mouse)	316	DnaJ
Q149L6	DJB14_MOUSE	reviewed	DnaJ homolog subfamily B member 14	Dnajb14	Mus musculus (Mouse)	379	DnaJ
Q9QYI5	DNJB2_MOUSE	reviewed	DnaJ homolog subfamily B member 2 (DnaJ homolog subfamily B member 10) (mDj8)	Dnajb2 Dnajb10	Mus musculus (Mouse)	324	DnaJ
O35723	DNJB3_MOUSE	reviewed	DnaJ homolog subfamily B member 3 (DnaJ protein homolog 3) (Heat shock protein J3) (HSJ-3) (MSJ-1)	Dnajb3 Hsj3 Msj1	Mus musculus (Mouse)	242	DnaJ
Q9D832	DNJB4_MOUSE	reviewed	DnaJ homolog subfamily B member 4	Dnajb4	Mus musculus (Mouse)	337	DnaJ
O89114	DNJB5_MOUSE	reviewed	DnaJ homolog subfamily B member 5 (Heat shock protein Hsp40-3) (Heat shock protein cognate 40) (Hsc40)	Dnajb5 Hsc40	Mus musculus (Mouse)	348	DnaJ
O54946	DNJB6_MOUSE	reviewed	DnaJ homolog subfamily B member 6 (Heat shock protein J2) (HSJ-2) (MRJ) (mDj4)	Dnajb6 Hsj2 Mrj	Mus musculus (Mouse)	365	DnaJ
Q9QYI8	DNJB7_MOUSE	reviewed	DnaJ homolog subfamily B member 7 (mDj5)	Dnajb7	Mus musculus (Mouse)	312	DnaJ
Q9QYI7	DNJB8_MOUSE	reviewed	DnaJ homolog subfamily B member 8 (mDj6)	Dnajb8	Mus musculus (Mouse)	227	DnaJ
Q9QYI6	DNJB9_MOUSE	reviewed	DnaJ homolog subfamily B member 9 (Endoplasmic reticulum DNA J domain-containing protein 4) (ER-resident protein ERdj4) (ERdj4) (mDj7)	Dnajb9	Mus musculus (Mouse)	222	DnaJ
Q61712	DNJC1_MOUSE	reviewed	DnaJ homolog subfamily C member 1 (DnaJ protein homolog MTJ1)	Dnajc1 Dnajl1 Mtj1	Mus musculus (Mouse)	552	DnaJ
Q5U458	DJC11_MOUSE	reviewed	DnaJ homolog subfamily C member 11	Dnajc11	Mus musculus (Mouse)	559	DnaJ
Q9R022	DJC12_MOUSE	reviewed	DnaJ homolog subfamily C member 12 (J domain-containing protein 1)	Dnajc12 Jdp1	Mus musculus (Mouse)	198	DnaJ
Q921R4	DJC14_MOUSE	reviewed	DnaJ homolog subfamily C member 14	Dnajc14	Mus musculus (Mouse)	703	DnaJ
Q78YY6	DJC15_MOUSE	reviewed	DnaJ homolog subfamily C member 15	Dnajc15 Dnajd1	Mus musculus (Mouse)	149	DnaJ
Q91WT4	DJC17_MOUSE	reviewed	DnaJ homolog subfamily C member 17	Dnajc17	Mus musculus (Mouse)	303	DnaJ
Q9CZJ9	DJC18_MOUSE	reviewed	DnaJ homolog subfamily C member 18	Dnajc18	Mus musculus (Mouse)	357	DnaJ
Q9CQV7	TIM14_MOUSE	reviewed	Mitochondrial import inner membrane translocase subunit TIM14 (DnaJ homolog subfamily C member 19)	Dnajc19 Tim14 Timm14	Mus musculus (Mouse)	116	DnaJ
P54103	DNJC2_MOUSE	reviewed	DnaJ homolog subfamily C member 2 (Mouse Id associate 1) (MIDA1) (Zuotin-related factor 1)	Dnajc2 Mida1 Zrf1	Mus musculus (Mouse)	621	DnaJ
